id	cul	Gender	Age	Region	REL	NAT_1	NAT_2	NAT_3	NAT_4	LNG_1	LNG_2	EDU	RHAB	FNL1	FNL2	AN	AC	RATE_WITCH	MR	SBS	AM	IRI_EC	IRI_PT	EXP
52	EN1044	EN	1	39	South	Methodist	Usa	Usa	Manufacturing line lead	Maryland	Yes		Vocational School / Technical College / Communication College (Associate Degree)	3	NA	NA	4.25	5.09090909090909	1	4.15384615384615	3.66666666666667	2.86666666666667	6.71428571428571	6.28571428571429	2
53	EN1045	EN	0	35	South	Catholic	United States	United States	Military	Georgia	Yes		Vocational School / Technical College / Communication College (Associate Degree)	10	NA	NA	2.125	3.81818181818182	0	6	4	2.33333333333333	4.14285714285714	3.57142857142857	1.33333333333333
54	EN1046	EN	1	31	South	Christian	United States	United States	none	Tennesse	Yes		Other	0	NA	NA	2.375	4.09090909090909	1	4.69230769230769	4	1.46666666666667	5.14285714285714	3.71428571428571	1.33333333333333
55	EN1047	EN	0	55	South	Buddist	U.S.	U.S.	Sr. Sales Director	Florida	Yes		Graduate University / Professional School (Master's Degree, Doctoral Degree)	5	NA	NA	3.625	3.72727272727273	0	4.76923076923077	1.83333333333333	4.86666666666667	5	5.57142857142857	3.33333333333333
56	EN1048	EN	1	21	West	Christian 	United States 	United States 	Student 	Fairfield 	Yes		Vocational School / Technical College / Communication College (Associate Degree)	1	NA	NA	2.5	3.09090909090909	1	5.61538461538461	2.33333333333333	4.06666666666667	3.28571428571429	3.85714285714286	1
57	EN1049	EN	1	57	Midwest	Christian	U.S.	U.S.	Management	Minnesota	Yes		University / College / Undergraduate School (Bachelor Degree)	10	NA	NA	1.875	4.63636363636364	0	1	4	3.33333333333333	6.57142857142857	6.85714285714286	2.33333333333333
58	EN105	EN	1	29	South	Orthodox	USA	USA	Manager	New York	Yes		Graduate University / Professional School (Master's Degree, Doctoral Degree)	4	NA	NA	3.75	5	1	3.38461538461538	1.16666666666667	6.46666666666667	4.14285714285714	4.28571428571429	6.33333333333333
59	EN1050	EN	1	26	Midwest	Christian 	United States 	United States 	Caregiver	Kansas	Yes		Vocational School / Technical College / Communication College (Associate Degree)	10	NA	NA	4.375	2.27272727272727	0	6.61538461538461	3.5	4.73333333333333	6.28571428571429	6	4
60	EN1051	EN	0	50	South	Spiritual 	United States 	United States 	Commercial Real Estate 	Texas	Yes		University / College / Undergraduate School (Bachelor Degree)	3	NA	NA	4.625	2.27272727272727	1	6.76923076923077	4	5.73333333333333	5.57142857142857	3.57142857142857	1.33333333333333
61	EN1052	EN	1	25	South	Christian	USA 	USA 	Unemployed 	Kentucky 	Yes	Native	Other	4	NA	NA	3.75	3.90909090909091	1	4.38461538461539	-1	3.13333333333333	3.42857142857143	3.85714285714286	3
62	EN1053	EN	0	25	South	None	United States	United States	Software Engineer	Florida	Yes		University / College / Undergraduate School (Bachelor Degree)	4	NA	NA	1.125	2.72727272727273	0	2.69230769230769	0	3.26666666666667	4	6.28571428571429	4
63	EN1054	EN	1	55	South	polytheist	United States	United States	veterinarian	NC	Yes		Graduate University / Professional School (Master's Degree, Doctoral Degree)	2	NA	NA	1.75	1.72727272727273	0	6.61538461538461	3.33333333333333	4.73333333333333	6	4.71428571428571	2.33333333333333
64	EN1055	EN	0	30	South	Catholic	USA	USA	Medical Assistance	NM	Yes		Vocational School / Technical College / Communication College (Associate Degree)	10	NA	NA	1.75	3.54545454545455	0	5.84615384615385	2.66666666666667	4	5.71428571428571	3.57142857142857	2
65	EN1056	EN	1	32	South	Christian 	USA 	Usa	Food service	Florida	Yes	Basic	Vocational School / Technical College / Communication College (Associate Degree)	4	NA	NA	4.25	5.36363636363636	1	6.38461538461539	3.33333333333333	5.06666666666667	5.28571428571429	6.14285714285714	2
66	EN1057	EN	0	50	West	catholic	United States	United States	lawyer	CO	Yes		Graduate University / Professional School (Master's Degree, Doctoral Degree)	10	NA	NA	2	3.54545454545455	1	5.92307692307692	3.33333333333333	2.86666666666667	5.57142857142857	6.57142857142857	5.33333333333333
67	EN1058	EN	1	40	Midwest	spiritual 	United States of America	United States of America	food and Beverage management 	Missouri	Yes		Vocational School / Technical College / Communication College (Associate Degree)	2	NA	NA	3.75	2.72727272727273	1	6.46153846153846	3.33333333333333	7.26666666666667	7	6.71428571428571	1
68	EN1059	EN	0	41	South	Catholic 	US	US	Attorney	WV	Yes		Graduate University / Professional School (Master's Degree, Doctoral Degree)	10	NA	NA	2.125	3.54545454545455	0	2.23076923076923	2.33333333333333	4.06666666666667	5.57142857142857	6.28571428571429	1.33333333333333
69	EN106	EN	0	41	Northeast	Christian 	USA 	USA 	Information technology 	Washington 	Yes	Basic	Graduate University / Professional School (Master's Degree, Doctoral Degree)	3	NA	NA	4.5	5.36363636363636	1	3.84615384615385	3.33333333333333	6.73333333333333	6.14285714285714	5.57142857142857	2.33333333333333
70	EN1060	EN	1	24	South	Christian	United States	United States	healthcare	OK	Yes		Vocational School / Technical College / Communication College (Associate Degree)	9	NA	NA	3.5	4.63636363636364	1	3.53846153846154	4	1.86666666666667	5.57142857142857	5.14285714285714	3.33333333333333
71	EN1061	EN	1	55	South	christian	united states	united states	police officer	Florida	Yes		Graduate University / Professional School (Master's Degree, Doctoral Degree)	10	NA	NA	2.75	5.81818181818182	1	7	3.66666666666667	0	5.71428571428571	5.57142857142857	2
72	EN1062	EN	0	47	South	Rosicrucian (open to the truths in all religions without the dogmas)	USA	USA	Chef/Developer	Florida	Yes		University / College / Undergraduate School (Bachelor Degree)	10	NA	NA	2.75	1.72727272727273	0	7	2.66666666666667	6.46666666666667	6.71428571428571	6.57142857142857	3
73	EN1063	EN	1	60	South	None	USA	USA	Retail	TN	Yes		Vocational School / Technical College / Communication College (Associate Degree)	0	NA	NA	4.625	3.18181818181818	1	6.76923076923077	3.66666666666667	6.8	7	7	3
74	EN1064	EN	0	56	West	Baptist	USA	USA	Retired	Nevada	Yes	Native	Vocational School / Technical College / Communication College (Associate Degree)	6	NA	NA	3	4	1	4	0.833333333333333	5.06666666666667	4	4	5
